x,y,cadmium,copper,lead,zinc,elev,dist,om,ffreq,soil,lime,landuse,dist.m,res,optional
181072,333611,11.7,85,299,1022,7.909,0.00135803,13.6,1,1,1,Ah,50,0.399382504100582,TRUE
181025,333558,8.6,81,277,1141,6.983,0.0122243,14,1,1,1,Ah,30,0.538864075673124,TRUE
181165,333537,6.5,68,199,640,7.8,0.103029,13,1,1,1,Ah,150,0.205836766024477,TRUE
181298,333484,2.6,81,116,257,7.655,0.190094,8,1,2,0,Ga,270,-0.471487329262611,TRUE
181307,333330,2.8,48,117,269,7.48,0.27709,8.7,1,2,0,Ah,380,-0.190970332437713,TRUE
181390,333260,3,61,137,281,7.791,0.364067,7.8,1,2,0,Ga,470,0.0875033610500152,TRUE
181165,333370,3.2,31,132,346,8.217,0.190094,9.2,1,2,0,Ah,240,-0.174124639100106,TRUE
181027,333363,2.8,29,150,406,8.49,0.0921516,9.5,1,1,0,Ab,120,-0.278646293242352,TRUE
181060,333231,2.4,37,133,347,8.668,0.184614,10.6,1,1,0,Ab,240,-0.186034161908891,TRUE
181232,333168,1.6,24,80,183,9.049,0.309702,6.3,1,2,0,W,420,-0.488145969912632,TRUE
181191,333115,1.4,25,86,189,9.015,0.315116,6.4,1,2,0,Fh,400,-0.441267774308182,TRUE
181032,333031,1.8,25,97,251,9.073,0.228123,9,1,1,0,Ag,300,-0.392435452612879,TRUE
180874,333339,11.2,93,285,1096,7.32,0,15.4,1,1,1,W,20,0.465621636888775,TRUE
180969,333252,2.5,31,183,504,8.815,0.113932,8.4,1,1,0,Ah,130,-0.00361798194940212,TRUE
181011,333161,2,27,130,326,8.937,0.168336,9.1,1,1,0,Ah,220,-0.292410757545014,TRUE
180830,333246,9.5,86,240,1032,7.702,0,16.2,1,1,1,W,10,0.405453115422322,TRUE
180763,333104,7,74,133,606,7.16,0.0122243,16,1,1,1,W,10,-0.0939162881196395,TRUE
180694,332972,7.1,69,148,711,7.1,0.0122243,16,1,1,1,W,10,0.0658761556142869,TRUE
180625,332847,8.7,69,207,735,7.02,0,13.7,1,1,1,W,10,0.0660696685936506,TRUE
180555,332707,12.9,95,284,1052,6.86,0,14.8,1,1,1,NA,10,0.42464756267847,TRUE
180642,332708,5.5,53,194,673,8.908,0.0703468,10.2,1,1,1,Am,80,0.167874796080281,TRUE
180704,332717,2.8,35,123,402,8.99,0.0975136,7.2,1,1,1,Am,140,-0.274070426357136,TRUE
180704,332664,2.9,35,110,343,8.83,0.113932,7.2,1,1,1,Ag,160,-0.388463802854831,TRUE
181153,332925,1.7,24,85,218,9.02,0.342321,7,1,2,0,Ah,440,-0.22506857128277,TRUE
181147,332823,1.4,26,75,200,8.976,0.385804,6.9,1,2,0,W,490,-0.193845915171886,TRUE
181167,332778,1.5,22,76,194,8.973,0.429289,6.3,1,2,0,W,530,-0.10689937047703,TRUE
181008,332777,1.3,27,73,207,8.507,0.315116,5.6,1,2,0,Ab,400,-0.350295996102455,TRUE
180973,332687,1.3,24,67,180,8.743,0.320574,4.4,1,2,0,Ag,400,-0.475321808883591,TRUE
180916,332753,1.8,22,87,240,8.973,0.249863,5.3,1,2,0,Ah,330,-0.378553342097423,TRUE
181352,332946,1.5,21,65,180,9.043,0.489064,4.8,1,2,0,Ag,630,-0.0204133304488502,TRUE
181133,332570,1.3,29,78,208,8.688,0.472778,2.6,1,2,0,B,570,0.0801971019957773,TRUE
180878,332489,1.3,21,64,198,8.727,0.287957,1,1,2,0,Ag,390,-0.468074717933833,TRUE
180829,332450,2.1,27,77,250,8.328,0.271622,2.4,1,2,0,Ah,360,-0.278983922909464,TRUE
180954,332399,1.2,26,80,192,7.971,0.385807,1.9,1,2,0,B,500,-0.2346598099507,TRUE
180956,332318,1.6,27,82,213,7.809,0.418417,3.1,1,2,0,B,550,-0.0428188268111841,TRUE
180710,332330,3,32,97,321,6.986,0.244474,1.6,1,2,0,Ab,340,-0.10230097785029,TRUE
180632,332445,5.8,50,166,569,7.756,0.135709,3.5,1,2,0,Ab,210,0.176482207221907,TRUE
180530,332538,7.9,67,217,833,7.784,0.0484965,8.1,1,1,1,Am,60,0.322169181803521,TRUE
180478,332578,8.1,77,219,906,7,0,7.9,1,1,1,W,10,0.275238475423794,TRUE
180383,332476,14.1,108,405,1454,6.92,0.00135803,9.5,1,1,1,W,20,0.751939391430411,TRUE
180494,332330,2.4,32,102,298,7.516,0.135709,1.4,1,2,0,Am,170,-0.470304740399019,TRUE
180561,332193,1.2,21,48,167,8.18,0.26622,NA,1,2,0,Ga,320,-0.697035962775421,TRUE
180451,332175,1.7,22,65,176,8.694,0.211843,NA,1,2,0,W,260,-0.79135899359011,TRUE
180410,332031,1.3,21,62,258,9.28,0.320572,2,1,2,0,Ah,360,-0.115324474679811,TRUE
180355,332299,4.2,51,281,746,7.94,0.081222,5.1,1,2,0,Ah,100,0.300217169343768,TRUE
180292,332157,4.3,50,294,746,6.36,0.190086,5.3,1,2,0,Am,200,0.594140586735422,TRUE
180283,332014,3.1,38,211,464,7.78,0.287941,4.5,1,2,0,Ah,320,0.383499604976871,TRUE
180282,331861,1.7,26,135,365,8.18,0.423826,4.9,1,2,0,Ah,480,0.510390194879043,TRUE
180270,331707,1.7,24,112,282,9.42,0.554289,4.5,1,2,0,Bw,660,0.604638768083866,TRUE
180199,331591,2.1,32,162,375,8.867,0.603225,5.5,1,2,0,Bw,690,1.02178070549305,TRUE
180135,331552,1.7,24,94,222,8.292,0.614071,3.4,1,2,0,Ab,710,0.526815326616023,TRUE
180237,332351,8.2,47,191,812,8.06,0.00135803,11.1,1,1,1,Ah,10,0.169366073498624,TRUE
180103,332297,17,128,405,1548,7.98,0,12.3,1,1,1,W,10,0.810918223530487,TRUE
179973,332255,12,117,654,1839,7.9,0.0054321,16.5,1,1,1,W,10,0.997842595811388,TRUE
179826,332217,9.4,104,482,1528,7.74,0.0054321,13.9,1,1,1,W,10,0.812580340933533,TRUE
